gene_name,entrez_id
CG43202,12798334
IM2,49802
CG15731,32194
ac,30981
CG3224,31600
Obp49a,36399
EndoU,41931
ifc,33836
CG15887,41631
CG42361,37936
Muted,4379860
upd1,32813
CG4982,39794
CG4822,33170
HLH54F,37027
fu12,34176
CG9855,40556
CG12171,40690
CG3587,31160
Gasz,35795
bin,38766
FRG1,40228
CG12746,40672
pip,40104
CG16959,39648
CG4455,34975
CG14565,40423
CG15719,32249
CG17343,35180
CG2291,35804
udd,35781
Dark,36914
CG13311,39008
frm,38624
CG7987,41768
Cdc7,31598
Fur2,32604
Tdc1,35573
barr,35287
CG12914,36078
CG14906,42030
CG42661,10178846
cona,42213
CG10576,38645
Vha36-3,31235
CG11379,31062
Nxt1,37769
CG11034,33810
CG9899,37676
CG12715,32252
CG3769,34262
MetRS,37177
fln,42066
ETHR,42523
CG8248,35888
RSG7,32674
CG7492,38859
CG14669,40652
MED19,39987
CG42586,8673977
CG31775,318935
Dronc,39173
CG42660,10178939
ps,44885
CG14860,41803
CG14414,32394
Cad96Ca,43026
ab,34560
CG9737,43600
pad,41981
inaF-A,5740676
Cyp309a2,33439
CG31038,43535
Pp4-19C,45031
CG13088,34180
tws,47877
alpha4GT1,33512
Wbp2,39460
Trpgamma,34991
Cpr47Ef,36194
Grip71,35130
Gagr,39824
Pkc53E,48311
CG30485,246644
HDAC6,32461
CG31441,326139
inaF-C,5740497
CG1208,38375
PMCA,43787
CG31918,326172
Pgm,44010
CG11226,40501
CG2113,38356
CG15643,32489
CG13575,37883
CG18302,34452
inaF-B,8674114
TAF1B,41242
CLIP-190,35042
CG42375,7354380
PhKgamma,32120
CG9098,33840
Osi12,40766
cmpy,40288
l(3)72Dp,NA
CG12772,31803
CG46320,30522409
apt,35509
CG2003,43761
tay,32547
eyg,39419
hkb,40549
Usp20-33,36580
CG4096,31490
ytr,47457
h,38995
brn,31358
scb,44448
CG10444,37294
Golgin245,37702
CG6805,36911
hdc,43604
CG32452,318035
rib,44855
cwo,44669
NELF-B,31681
gpp,40793
m-cup,42076
Vha16-1,44307
CG46318,30522407
CG42340,7354472
CG32163,317891
Marf,31581
Dbp80,3354919
ssp6,38694
Axn,43565
Gbp2,36937
waw,3771960
CG34313,5740766
CG32687,31980
CG14527,43412
CG11178,32315
smo,33196
CG45101,19834824
Notum,39751
trh,38065
ras,41140
CG13175,3771946
para,32619
CG9514,32418
CG16833,47729
CG34342,5740152
CG1407,36043
Tsp39D,35405
su(w,31271
dpr14,31702
CG14356,41722
CG11966,41069
RhoGAP18B,32898
PpD3,49779
CG7220,36129
zld,32994
olf413,40453
sqd,41666
nrv3,35408
CG17169,3354995
SAK,40384
hep,32256
CG31712,34320
obst-A,33022
sfl,38736
chinmo,33343
stet,38169
nmo,38890
Tpr2,34984
CG8177,39147
CG31176,42554
Mob2,39293
CG11125,35669
Np,35904
CG7510,39965
mAChR-A,37892
CG14110,39500
rdgC,40224
CG31542,318791
Spt20,39522
CG18135,40073
CG33203,43414
lace,34910
CG4896,33305
CG46319,30522408
bru2,250811
CG8237,35891
S6k,38654
Appl,31002
Irc,42049
Hipk,38070
yata,43508
Antp,40835
Or45a,35958
rgn,32165
dpr6,50296
CG45075,19834937
frc,39943
Ythdc1,38420
Kul,43501
cdm,42171
Cul1,35742
CG46311,30522400
CG1646,43399
CG18265,39947
FucTB,34260
Atf3,43867
Kr-h1,33861
CG31274,318655
CG5937,31537
CG40160,3354965
GlcAT-I,251900
CG44085,34732
kek2,34582
Trpm,36694
Nmdar1,40665
GluRIIE,318623
CG12866,36630
dom,32976
CG43373,39835
MESK4,64872
CG18208,42258
CG42797,31905
CG17715,3355129
CG10947,35309
Baldspot,39860
MCU,59223
MRP,35007
CG1815,43730
Opa1,36578
NfI,43782
Octbeta3R,3885573
CG31286,318662
Nxf3,317878
CG33981,3885654
wech,44653
CG6700,34496
pros,41363
CG42245,7354428
Dyrk3,3885567
Inx2,31646
Cks85A,41034
CG8997,34799
chn,42795
DIP-beta,33125
Eip93F,44936
Kaz-m1,43154
plum,43197
REPTOR,42930
CG42795,41252
CG12290,43182
ImpL3,45880
SK,45845
smog,33690
CG13663,43029
CG18870,59218
CG3635,35447
Grik,42476
Tyler,3772349
CG2698,40945
cdi,42289
CG15894,31574
CG32301,38285
rhea,38978
CG30497,246653
Sema1a,34192
kek6,43729
BuGZ,35004
fend,31843
CG15465,31434
Sgf11,40035
CG34401,50356
Camta,35974
CG2926,40676
CG32651,318140
jing,35555
Gfat2,43373
Octbeta1R,42652
Drep4,34734
Imp,32009
Gbs-76A,40102
CG44195,14462837
CG30467,36719
Galphao,36104
Ilp6,31220
Not1,5740252
Tob,32574
gro,43162
Mgstl,44110
EcR,35540
CG13151,36374
alpha-Est5,40905
pho,43819
Sec24AB,36025
Ag5r,44631
Tango10,32125
spoon,31459
Ir40a,35449
TpnC4,35473
CG33970,43186
Dcp-1,37729
mRpS26,40001
unk,42738
CG31075,43244
Prosbeta4R2,33451
Dbp73D,39871
CG3337,42519
Eip63E,38433
Pak,44039
CG7564,39956
sub,44870
eEF1alpha1,36271
sls,44013
Ggamma30A,45234
LRR,35715
Glut4EF,41217
CG5577,39985
Cpsf160,44250
Atf6,35480
CG7470,40443
MetRS-m,41733
CG5791,50055
CG9839,41055
Nup154,34527
CG40228,5740664
CG31109,43001
CG14006,33802
CG11398,31070
CG11583,326206
Mes2,40514
CG15657,37408
CG1172,40647
cpx,64877
Cda4,33144
PIP4K,3885565
nrm,40515
Prp8,36304
Asator,43794
pan,43769
spas,42846
SERCA,49297
B4,34767
CheA86a,3772145
